Phân loại xong 184 doc, bỏ qua 0 (đã phân loại/parse lỗi), bỏ qua 0 (bản trùng, dedup lọc trước khi tốn LLM)
--- Dedup (chạy trước classify) ---
doc#60: CONFIRMED [DISTRIBUTION_CHANNEL] → ROUTED [SALES]
doc#61: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#62: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#63: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#64: CONFIRMED [PRODUCT_REGULATION] → ROUTED [PRODUCT]
doc#65: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#66: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#67: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#68: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#69: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#70: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#71: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#72: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#73: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#74: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#75: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#76: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#77: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#78: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#79: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#80: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#81: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#82: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#83: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#84: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#85: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#86: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#87: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#88: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#89: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#90: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#91: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#92: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#93: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#94: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#95: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#96: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#97: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#98: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#99: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#100: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#101: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#102: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#103: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#104: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#105: CONFIRMED [DISTRIBUTION_CHANNEL] → ROUTED [SALES]
doc#106: CONFIRMED [DISTRIBUTION_CHANNEL] → ROUTED [SALES]
doc#107: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#108: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#109: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#110: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#111: CONFIRMED [DISTRIBUTION_CHANNEL] → ROUTED [SALES]
doc#112: CONFIRMED [DISTRIBUTION_CHANNEL] → ROUTED [SALES]
doc#113: CONFIRMED [DISTRIBUTION_CHANNEL] → ROUTED [SALES]
doc#114: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#115: CONFIRMED [DISTRIBUTION_CHANNEL] → ROUTED [SALES]
doc#116: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#117: CONFIRMED [DISTRIBUTION_CHANNEL] → ROUTED [SALES]
doc#118: CONFIRMED [DISTRIBUTION_CHANNEL] → ROUTED [SALES]
doc#119: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#120: CONFIRMED [DISTRIBUTION_CHANNEL] → ROUTED [SALES]
doc#121: CONFIRMED [DISTRIBUTION_CHANNEL] → ROUTED [SALES]
doc#122: CONFIRMED [DISTRIBUTION_CHANNEL] → ROUTED [SALES]
doc#123: CONFIRMED [DISTRIBUTION_CHANNEL] → ROUTED [SALES]
doc#124: CONFIRMED [DISTRIBUTION_CHANNEL] → ROUTED [SALES]
doc#125: CONFIRMED [DISTRIBUTION_CHANNEL] → ROUTED [SALES]
doc#126: CONFIRMED [DISTRIBUTION_CHANNEL] → ROUTED [SALES]
doc#127: CONFIRMED [DISTRIBUTION_CHANNEL] → ROUTED [SALES]
doc#128: CONFIRMED [DISTRIBUTION_CHANNEL] → ROUTED [SALES]
doc#129: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#130: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#131: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#132: CONFIRMED [DISTRIBUTION_CHANNEL] → ROUTED [SALES]
doc#133: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#134: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#135: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#136: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#137: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#138: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#139: CONFIRMED [DISTRIBUTION_CHANNEL] → ROUTED [SALES]
doc#140: CONFIRMED [DISTRIBUTION_CHANNEL] → ROUTED [SALES]
doc#141: CONFIRMED [PRODUCT_LAUNCH] → ROUTED [PRODUCT, SALES]
doc#142: CONFIRMED [DISTRIBUTION_CHANNEL] → ROUTED [SALES]
doc#143: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#144: CONFIRMED [DISTRIBUTION_CHANNEL] → ROUTED [SALES]
doc#145: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#146: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#147: CONFIRMED [PRODUCT_LAUNCH] → ROUTED [PRODUCT, SALES]
doc#148: CONFIRMED [DISTRIBUTION_CHANNEL] → ROUTED [SALES]
doc#149: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#150: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#151: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#152: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#153: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#154: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#155: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#156: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#157: CONFIRMED [PRODUCT_LAUNCH, PRODUCT_REGULATION] → ROUTED [PRODUCT, SALES]
doc#158: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#159: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#160: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#161: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#162: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#163: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#164: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#165: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#166: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#167: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#168: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#169: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#170: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#171: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#172: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#173: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#174: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#175: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#176: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#177: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#178: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#179: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#180: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#181: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#182: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#183: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
doc#184: OUT_OF_SCOPE [] → HELD_FOR_REVIEW []
